127.0.0.1 - - [04/Jul/2016:15:32:25 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:37 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_f08000_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:38 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:40 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:40 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_75_f5f5b5_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:40 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_cb672b_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:40 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_f35f07_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:41 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 7924
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:41 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:41 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:45 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 8392
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:45 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:45 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:45 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_c47a23_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:45 +0300] "GET /TFL/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:50 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:50 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 8008
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:50 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:50 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:51 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 4050
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:51 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:56 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 4052
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:56 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:56 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:56 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
