0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:38 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:44 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:44 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 13078
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:32 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14751
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:33 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:34 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:35 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:36 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:36 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22020
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:37 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:37 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:43 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:43 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14751
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:08 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 13082
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:08 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:10 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:10 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22020
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:11 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:11 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:18 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:18 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 13082
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:22 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:49:50 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 500 4157
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:50:14 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14831
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:50:14 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:53:46 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14921
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:53:46 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 29516
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:54:15 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:54:15 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:54:34 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:55:47 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:55:49 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:56:37 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:56:39 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:57:23 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:57:26 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:57:32 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 500 3955
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:59:29 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16671
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:59:29 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:59:42 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14824
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:59:43 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16691
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:59:43 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:59:45 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16671
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:14 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15136
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:14 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:23 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:24 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:24 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:24 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:24 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:24 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:34 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:00:34 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:20 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:20 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15024
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:20 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:22 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:22 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:23 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:24 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:30 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:30 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15024
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:36 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:36 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:56 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:01:56 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:02:01 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:02:02 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15056
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:02:02 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:04:35 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:04:35 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:19 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:19 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:22 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
