127.0.0.1 - - [08/Jul/2016:08:51:12 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:48 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:55 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:56 +0300] "POST /TFL/index.xhtml HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/resources/userview.xhtml HTTP/1.1" 200 26236
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/styles/custCss.css HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 200 4655
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 142977
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/images/players.png HTTP/1.1" 200 674429
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/images/nextgames.png HTTP/1.1" 200 242524
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/images/history.jpeg HTTP/1.1" 200 165711
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/images/background.jpg HTTP/1.1" 200 34623
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:57 +0300] "GET /TFL/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:51:58 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:00 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "POST /TFL/resources/userview.xhtml HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/resources/teams.xhtml HTTP/1.1" 200 32622
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:01 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:02 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:02 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:02 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:02 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:02 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:02 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_f08000_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:03 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:04 +0300] "GET /TFL/resources/userview.xhtml HTTP/1.1" 200 26236
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:06 +0300] "POST /TFL/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 50352
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:07 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:09 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "POST /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/resources/teams.xhtml HTTP/1.1" 200 37274
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:10 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_f08000_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:17 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:54 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:54 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/resources/adminplayersview.xhtml HTTP/1.1" 200 226516
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/noimage.png.xhtml?ln=img HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:52:55 +0300] "GET /TFL/javax.faces.resource/rating/rating.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "POST /TFL/resources/adminplayersview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/resources/userchart.xhtml HTTP/1.1" 200 21791
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/charts/charts.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/charts/charts.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 329917
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:08 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "POST /TFL/resources/userchart.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/resources/viewpersonalinfo.xhtml HTTP/1.1" 200 28008
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/inputswitch/inputswitch.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/fileupload/fileupload.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 31987
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/inputswitch/inputswitch.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/javax.faces.resource/fileupload/fileupload.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:13 +0300] "GET /TFL/images/camera.png?pfdrid_c=true HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:14 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:14 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:14 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:14 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:16 +0300] "POST /TFL/resources/viewpersonalinfo.xhtml HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:16 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_c47a23_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:16 +0300] "GET /TFL/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "POST /TFL/resources/viewpersonalinfo.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/resources/adminplayersview.xhtml HTTP/1.1" 200 226516
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:20 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:21 +0300] "GET /TFL/javax.faces.resource/dfg.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:21 +0300] "GET /TFL/javax.faces.resource/noimage.png.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:21 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:21 +0300] "GET /TFL/javax.faces.resource/rating/rating.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:53:21 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:54:01 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:54:01 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:54:02 +0300] "POST /TFL/resources/adminplayersview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2016:08:54:02 +0300] "GET /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 50352
